"","state","freq"
"1","alabama",22
"2","arizona",19
"3","arkansas",13
"4","california",41
"5","colorado",21
"6","connecticut",13
"7","delaware",3
"8","district of columbia",16
"9","florida",38
"10","georgia",37
"11","idaho",5
"12","illinois",33
"13","indiana",24
"14","iowa",10
"15","kansas",43
"16","kentucky",28
"17","louisiana",26
"18","maine",6
"19","maryland",27
"20","massachusetts",29
"21","michigan",28
"22","minnesota",15
"23","mississippi",10
"24","missouri",32
"25","montana",5
"26","nebraska",8
"27","nevada",18
"28","new hampshire",4
"29","new jersey",25
"30","new mexico",9
"31","new york",34
"32","north carolina",40
"33","north dakota",1
"34","ohio",36
"35","oklahoma",31
"36","oregon",23
"37","pennsylvania",35
"38","rhode island",7
"39","south carolina",17
"40","south dakota",2
"41","tennessee",39
"42","texas",42
"43","utah",11
"44","vermont",1
"45","virginia",30
"46","washington",20
"47","west virginia",12
"48","wisconsin",14
"49","wyoming",4
"50",NA,45
"51","alaska",44
"52","hawaii",44
