"","state","freq"
"1","alabama",2
"2","arizona",4
"3","arkansas",1
"4","california",9
"5","colorado",3
"6","connecticut",1
"7","district of columbia",6
"8","florida",11
"9","georgia",4
"10","illinois",15
"11","indiana",12
"12","iowa",1
"13","kansas",10
"14","kentucky",1
"15","louisiana",10
"16","maine",1
"17","maryland",2
"18","massachusetts",3
"19","michigan",2
"20","mississippi",2
"21","missouri",11
"22","nebraska",1
"23","nevada",2
"24","new jersey",2
"25","new york",7
"26","north carolina",1
"27","ohio",4
"28","oklahoma",4
"29","south dakota",5
"30","tennessee",1
"31","texas",8
"32","virginia",1
"33","wisconsin",2
"34",NA,13
"35","alaska",14
"36","delaware",14
"37","hawaii",14
"38","idaho",14
"39","minnesota",14
"40","montana",14
"41","new hampshire",14
"42","new mexico",14
"43","north dakota",14
"44","oregon",14
"45","pennsylvania",14
"46","rhode island",14
"47","south carolina",14
"48","utah",14
"49","vermont",14
"50","washington",14
"51","west virginia",14
"52","wyoming",14
