"","state","freq"
"1","alabama",2
"2","california",5
"3","district of columbia",1
"4","florida",2
"5","georgia",1
"6","illinois",8
"7","indiana",2
"8","kansas",4
"9","kentucky",1
"10","louisiana",5
"11","maryland",1
"12","massachusetts",1
"13","michigan",2
"14","minnesota",1
"15","missouri",1
"16","nebraska",1
"17","new york",3
"18","south carolina",1
"19","south dakota",1
"20","tennessee",2
"21","texas",5
"22","virginia",2
"23",NA,6
"24","alaska",7
"25","arizona",7
"26","arkansas",7
"27","colorado",7
"28","connecticut",7
"29","delaware",7
"30","hawaii",7
"31","idaho",7
"32","iowa",7
"33","maine",7
"34","mississippi",7
"35","montana",7
"36","nevada",7
"37","new hampshire",7
"38","new jersey",7
"39","new mexico",7
"40","north carolina",7
"41","north dakota",7
"42","ohio",7
"43","oklahoma",7
"44","oregon",7
"45","pennsylvania",7
"46","rhode island",7
"47","utah",7
"48","vermont",7
"49","washington",7
"50","west virginia",7
"51","wisconsin",7
"52","wyoming",7
