"","state","freq"
"1","alabama",14
"2","arizona",19
"3","arkansas",7
"4","california",32
"5","colorado",19
"6","connecticut",15
"7","delaware",1
"8","district of columbia",19
"9","florida",30
"10","georgia",29
"11","idaho",6
"12","illinois",24
"13","indiana",12
"14","iowa",21
"15","kansas",33
"16","kentucky",18
"17","louisiana",15
"18","maine",10
"19","maryland",23
"20","massachusetts",27
"21","michigan",22
"22","minnesota",19
"23","mississippi",8
"24","missouri",21
"25","montana",1
"26","nebraska",20
"27","nevada",11
"28","new hampshire",2
"29","new jersey",21
"30","new mexico",9
"31","new york",26
"32","north carolina",24
"33","north dakota",3
"34","ohio",28
"35","oklahoma",16
"36","oregon",18
"37","pennsylvania",30
"38","rhode island",4
"39","south carolina",14
"40","south dakota",5
"41","tennessee",17
"42","texas",31
"43","utah",15
"44","vermont",4
"45","virginia",17
"46","washington",15
"47","west virginia",13
"48","wisconsin",25
"49","wyoming",2
"50",NA,35
"51","alaska",34
"52","hawaii",34
