"","state","freq"
"1","alabama",1
"2","arizona",7
"3","arkansas",3
"4","california",13
"5","colorado",2
"6","connecticut",5
"7","district of columbia",9
"8","florida",5
"9","georgia",11
"10","idaho",2
"11","illinois",11
"12","indiana",3
"13","iowa",2
"14","kansas",14
"15","kentucky",4
"16","maine",3
"17","maryland",10
"18","massachusetts",12
"19","michigan",5
"20","minnesota",5
"21","mississippi",5
"22","missouri",9
"23","nebraska",4
"24","nevada",1
"25","new jersey",8
"26","new mexico",1
"27","new york",7
"28","north carolina",8
"29","ohio",2
"30","oklahoma",5
"31","oregon",5
"32","pennsylvania",10
"33","south carolina",5
"34","tennessee",3
"35","texas",10
"36","utah",1
"37","vermont",3
"38","virginia",6
"39","washington",6
"40","wisconsin",8
"41",NA,16
"42","alaska",15
"43","delaware",15
"44","hawaii",15
"45","louisiana",15
"46","montana",15
"47","new hampshire",15
"48","north dakota",15
"49","rhode island",15
"50","south dakota",15
"51","west virginia",15
"52","wyoming",15
