"","state","freq"
"1","alabama",5
"2","arizona",10
"3","arkansas",5
"4","california",22
"5","colorado",9
"6","connecticut",1
"7","district of columbia",4
"8","florida",20
"9","georgia",15
"10","idaho",5
"11","illinois",19
"12","indiana",11
"13","iowa",6
"14","kansas",24
"15","kentucky",8
"16","louisiana",3
"17","maine",1
"18","maryland",6
"19","massachusetts",13
"20","michigan",7
"21","minnesota",6
"22","mississippi",1
"23","missouri",13
"24","montana",1
"25","nebraska",3
"26","nevada",2
"27","new jersey",11
"28","new mexico",4
"29","new york",16
"30","north carolina",18
"31","north dakota",4
"32","ohio",16
"33","oklahoma",9
"34","oregon",5
"35","pennsylvania",14
"36","rhode island",2
"37","south carolina",5
"38","tennessee",6
"39","texas",21
"40","utah",6
"41","vermont",2
"42","virginia",12
"43","washington",10
"44","west virginia",4
"45","wisconsin",17
"46","wyoming",1
"47",NA,25
"48","alaska",23
"49","delaware",23
"50","hawaii",23
"51","new hampshire",23
"52","south dakota",23
