"","state","freq"
"1","california",4
"2","colorado",2
"3","florida",3
"4","illinois",2
"5","kansas",2
"6","massachusetts",2
"7","missouri",2
"8","new jersey",2
"9","new york",2
"10","texas",5
"11",NA,4
"12","alabama",1
"13","alaska",1
"14","arizona",1
"15","arkansas",1
"16","connecticut",1
"17","delaware",1
"18","georgia",1
"19","hawaii",1
"20","idaho",1
"21","indiana",1
"22","iowa",1
"23","kentucky",1
"24","louisiana",1
"25","maine",1
"26","maryland",1
"27","michigan",1
"28","minnesota",1
"29","mississippi",1
"30","montana",1
"31","nebraska",1
"32","nevada",1
"33","new hampshire",1
"34","new mexico",1
"35","north carolina",1
"36","north dakota",1
"37","ohio",1
"38","oklahoma",1
"39","oregon",1
"40","pennsylvania",1
"41","rhode island",1
"42","south carolina",1
"43","south dakota",1
"44","tennessee",1
"45","utah",1
"46","vermont",1
"47","virginia",1
"48","washington",1
"49","west virginia",1
"50","wisconsin",1
"51","wyoming",1
