"","state","freq"
"1","alabama",2
"2","arizona",1
"3","california",9
"4","colorado",1
"5","connecticut",9
"6","district of columbia",1
"7","florida",6
"8","georgia",4
"9","illinois",1
"10","kansas",10
"11","kentucky",2
"12","maine",1
"13","maryland",5
"14","massachusetts",7
"15","michigan",1
"16","minnesota",1
"17","mississippi",1
"18","missouri",3
"19","nebraska",1
"20","nevada",3
"21","new jersey",2
"22","new mexico",1
"23","new york",8
"24","ohio",6
"25","oklahoma",9
"26","oregon",5
"27","pennsylvania",1
"28","south carolina",2
"29","texas",8
"30","vermont",1
"31","virginia",4
"32","washington",1
"33","wisconsin",2
"34","wyoming",2
"35",NA,12
"36","alaska",11
"37","arkansas",11
"38","delaware",11
"39","hawaii",11
"40","idaho",11
"41","indiana",11
"42","iowa",11
"43","louisiana",11
"44","montana",11
"45","new hampshire",11
"46","north carolina",11
"47","north dakota",11
"48","rhode island",11
"49","south dakota",11
"50","tennessee",11
"51","utah",11
"52","west virginia",11
